,Entity,Code,Year,Annual CO2 emissions,Annual consumption-based CO2 emissions,"GDP, PPP (constant 2017 international $)"
8624,World,OWID_WRL,1990,22749574360.0,22749574360.3482,50950509069488.4
8625,World,OWID_WRL,1991,23238102148.0,23238102147.7109,51647194959981.1
8626,World,OWID_WRL,1992,22569624280.0,22569624279.8418,52470667633217.3
8627,World,OWID_WRL,1993,22803495349.0,22803495349.1585,53337588714185.8
8628,World,OWID_WRL,1994,22964583359.0,22964583359.0564,54833948860734.5
8629,World,OWID_WRL,1995,23453944453.0,23453944453.3122,56562297159824.1
8630,World,OWID_WRL,1996,24154961206.0,24154961205.5486,58705719130559.4
8631,World,OWID_WRL,1997,24300550431.0,24300550430.9346,60986320577218.5
8632,World,OWID_WRL,1998,24206271270.0,24206271269.624,62501121248218.6
8633,World,OWID_WRL,1999,24518962288.0,24518962288.0106,64690042408440.9
8634,World,OWID_WRL,2000,25234207250.0,25234207250.3978,67746249355231.0
8635,World,OWID_WRL,2001,25451054498.0,25451054497.7944,69316442935601.7
8636,World,OWID_WRL,2002,26039191477.0,26039191477.3608,71196116657665.0
8637,World,OWID_WRL,2003,27366723291.0,27366723290.8183,73854265756934.1
8638,World,OWID_WRL,2004,28627533033.0,28627533033.0931,77602966693876.2
8639,World,OWID_WRL,2005,29602777196.0,29602777195.8923,81143163086806.2
8640,World,OWID_WRL,2006,30583530081.0,30583530080.9338,85317812651766.4
8641,World,OWID_WRL,2007,31493741589.0,31493741589.1785,89736479352572.2
8642,World,OWID_WRL,2008,32069444008.0,32069444008.4781,92137080273009.4
8643,World,OWID_WRL,2009,31607042410.0,31607042409.9719,91525864324734.7
8644,World,OWID_WRL,2010,33343300453.0,33343300452.8526,96148429697269.2
8645,World,OWID_WRL,2011,34468451046.0,34468451045.7488,99863601661332.0
8646,World,OWID_WRL,2012,34974075146.0,34974075146.0151,103026668031012.0
8647,World,OWID_WRL,2013,35283025443.0,35283025443.352,106423356016033.0
8648,World,OWID_WRL,2014,35534442952.0,35534442952.2101,110099865752273.0
8649,World,OWID_WRL,2015,35496406339.0,35496406339.0826,113829052972542.0
8650,World,OWID_WRL,2016,35452459298.0,35452459297.949,117527206583640.0
8651,World,OWID_WRL,2017,35925737687.0,35925737687.0516,121974483812884.0
8652,World,OWID_WRL,2018,36646139785.0,36646139784.5779,126314862833649.0
8653,World,OWID_WRL,2019,36702502903.0,36702502921.113,129796846031690.0
8654,World,OWID_WRL,2020,34807259099.0,34807259117.4448,125549812334109.0
